year,month,HHI_Total_assoc,HHI_Total_units,num_associations_Total,total_units_Total,HHI_LV_assoc,HHI_LV_units,num_associations_LV,total_units_LV,HHI_Reno_assoc,HHI_Reno_units,num_associations_Reno,total_units_Reno,HHI_Other_assoc,HHI_Other_units,num_associations_Other,total_units_Other
2023,12,356.99348473877683,678.4191212483248,3381,1001667,423.71655469100426,628.6725165232137,2721,685897,853.7484416070652,956.6307465863264,509,104373,2958.203587561951,7340.550923713664,151,211397
2024,1,354.830974736512,680.6846198044956,3381,997952,419.65181528630495,623.3423011903367,2735,689814,848.0838632067366,1030.0163133546882,506,98787,2707.1428571428582,7468.213186428444,140,209351
2024,2,354.1799002403204,682.7672003074255,3387,998940,412.9295867768594,618.5452263729821,2750,692898,862.1978759765625,1083.76833168565,512,100226,2412.16,7703.810005389221,125,205816
2024,3,356.3163664823045,690.4623521866259,3383,998963,412.9686866211464,621.1005929778315,2752,693268,866.0237096700934,1363.6860216768391,514,100852,2503.4699393673754,7774.36861409345,117,204843
2024,4,356.2525003171134,694.0756413635629,3388,998702,410.8377196721895,624.8971194035803,2759,694914,896.682765825372,1398.49308830852,514,100270,2511.1531190926275,7867.689716352204,115,203518
2024,5,355.95724488321946,694.3208196495668,3391,999450,411.7946563666589,627.023887606163,2763,696255,905.5188973694186,1436.6404359971625,511,99508,2499.0868580612173,7855.1720862829825,117,203687
2024,6,353.96732246486897,671.2473475649246,3396,1000571,410.4666257818182,588.4224371694463,2766,697383,914.0514270297792,1475.0735699538814,513,99614,2496.164803857112,7863.889571110914,117,203574
2024,7,350.3345479878144,667.7954027234772,3401,1001510,406.6180974598914,585.6691196785049,2770,698070,912.655755575406,1511.3814304539376,514,99639,2534.1515085104834,7848.317394624356,117,203801
2024,8,352.6179196107158,667.6693104384473,3404,1003657,409.4256312871031,589.0395638746993,2772,700519,934.8399695890045,1555.3579037924503,518,99438,2628.50107725454,7855.997014967818,114,203700
2024,9,346.76219232184724,639.7512230361258,3451,1009709,401.68035013343217,544.4290887646866,2817,705038,924.8520710059174,1522.8381740189493,520,100981,2628.50107725454,7856.768329558007,114,203690
2024,10,343.91961612751885,636.0187998922205,3466,1011512,397.09492266664535,539.4764519691172,2828,706458,930.1755938127214,1511.7233437659706,523,101164,2660.8695652173915,7842.602145059216,115,203890
2024,11,341.85680514148805,636.6297459420431,3468,1011923,393.11285172828735,544.5499330195498,2827,707935,964.1046559058328,1553.9988865417267,524,99714,2573.599240265907,7813.179709046673,117,204274
2024,12,340.6301549423336,634.2534312568868,3469,1011690,392.737473018091,542.0304106882679,2827,707642,950.4580498866212,1503.245149350577,525,99722,2573.599240265907,7809.527543616144,117,204326
2025,1,342.58266261759644,634.6584852736036,3472,1012685,395.92410386542815,543.6334605871773,2832,714005,946.1861196899948,1518.182273616775,524,98491,2617.419738406659,8131.367208711335,116,200189
2025,2,341.8009142801998,642.7102361191975,3473,1012937,395.2326251849336,554.7482131157534,2838,715767,940.8798185941044,1513.087670146347,525,99010,2636.363636363635,8294.29451346005,110,198160
2025,3,341.93395750599933,642.3029485890135,3472,1012560,396.5263887282322,556.562417927029,2837,715960,942.257369630904,1523.976280110306,526,98550,2679.0674185674607,8303.44382699765,109,198050
2025,4,344.4908603177505,642.590637790193,3470,1012541,399.8786229967705,557.0746390805081,2838,716333,957.14843354682,1534.8291844370708,526,98432,2741.18903524386,8325.169369964673,106,197776
2025,5,339.8651614418134,685.9861134357834,3406,978795,393.7907990477881,609.3339666896289,2789,684614,931.2267022331656,1484.6167765025425,513,96685,2697.855029585798,8348.127752046863,104,197496
2025,6,344.0377386881545,654.8796407486207,3474,1014288,397.1991272370485,581.7207071608653,2844,717466,951.5841936632252,1496.4512030565377,530,99716,2830.0,8381.021101434377,100,197106
